0	0 0 0.375 0.433013 0.487139 1 1 1.125 0.433013 0.487139 
0.001	0 0 0.373054 0.433013 0.510843 1 1 1.12695 0.433013 0.510843 
0.002	0 0 0.370948 0.433013 0.533598 1 1 1.12905 0.433013 0.533598 
0.003	0 0 0.368754 0.433013 0.555366 1 1 1.13125 0.433013 0.555366 
0.004	0 0 0.366529 0.433013 0.576109 1 1 1.13347 0.433013 0.576109 
0.005	0 0 0.364317 0.433013 0.595802 1 1 1.13568 0.433013 0.595802 
0.006	0 0 0.362154 0.433013 0.614424 1 1 1.13785 0.433013 0.614424 
0.007	0 0 0.360065 0.433013 0.631968 1 1 1.13993 0.433013 0.631968 
0.008	0 0 0.358072 0.433013 0.648434 1 1 1.14193 0.433013 0.648434 
0.009	0 0 0.356188 0.433013 0.663832 1 1 1.14381 0.433013 0.663832 
0.01	0 0 0.354422 0.433013 0.678182 1 1 1.14558 0.433013 0.678182 
0.011	0 0 0.35278 0.433013 0.69151 1 1 1.14722 0.433013 0.69151 
0.012	0 0 0.351264 0.433013 0.703852 1 1 1.14874 0.433013 0.703852 
0.013	0 0 0.349874 0.433013 0.715246 1 1 1.15013 0.433013 0.715246 
0.014	0 0 0.348607 0.433013 0.725735 1 1 1.15139 0.433013 0.725735 
0.015	0 0 0.347459 0.433013 0.735368 1 1 1.15254 0.433013 0.735368 
0.016	0 0 0.346426 0.433013 0.744193 1 1 1.15357 0.433013 0.744193 
0.017	0 0 0.345502 0.433013 0.752259 1 1 1.1545 0.433013 0.752259 
0.018	0 0 0.34468 0.433013 0.759617 1 1 1.15532 0.433013 0.759617 
0.019	0 0 0.343953 0.433013 0.766317 1 1 1.15605 0.433013 0.766317 
0.02	0 0 0.343315 0.433013 0.772407 1 1 1.15669 0.433013 0.772407 
0.021	0 0 0.342759 0.433013 0.777934 1 1 1.15724 0.433013 0.777934 
0.022	0 0 0.342278 0.433013 0.782943 1 1 1.15772 0.433013 0.782943 
0.023	0 0 0.341866 0.433013 0.787476 1 1 1.15813 0.433013 0.787476 
0.024	0 0 0.341517 0.433013 0.791574 1 1 1.15848 0.433013 0.791574 
0.025	0 0 0.341224 0.433013 0.795274 1 1 1.15878 0.433013 0.795274 
0.026	0 0 0.340983 0.433013 0.798613 1 1 1.15902 0.433013 0.798613 
0.027	0 0 0.340789 0.433013 0.801622 1 1 1.15921 0.433013 0.801622 
0.028	0 0 0.340636 0.433013 0.804332 1 1 1.15936 0.433013 0.804332 
0.029	0 0 0.340521 0.433013 0.806771 1 1 1.15948 0.433013 0.806771 
0.03	0 0 0.340438 0.433013 0.808965 1 1 1.15956 0.433013 0.808965 
0.031	0 0 0.340386 0.433013 0.810937 1 1 1.15961 0.433013 0.810937 
0.032	0 0 0.34036 0.433013 0.812708 1 1 1.15964 0.433013 0.812708 
0.033	0 0 0.340356 0.433013 0.814298 1 1 1.15964 0.433013 0.814298 
0.034	0 0 0.340374 0.433013 0.815726 1 1 1.15963 0.433013 0.815726 
0.035	0 0 0.340409 0.433013 0.817006 1 1 1.15959 0.433013 0.817006 
0.036	0 0 0.34046 0.433013 0.818155 1 1 1.15954 0.433013 0.818155 
0.037	0 0 0.340525 0.433013 0.819184 1 1 1.15948 0.433013 0.819184 
0.038	0 0 0.340601 0.433013 0.820106 1 1 1.1594 0.433013 0.820106 
0.039	0 0 0.340687 0.433013 0.820933 1 1 1.15931 0.433013 0.820933 
0.04	0 0 0.340783 0.433013 0.821673 1 1 1.15922 0.433013 0.821673 
0.041	0 0 0.340885 0.433013 0.822336 1 1 1.15911 0.433013 0.822336 
0.042	0 0 0.340994 0.433013 0.822929 1 1 1.15901 0.433013 0.822929 
0.043	0 0 0.341107 0.433013 0.82346 1 1 1.15889 0.433013 0.82346 
0.044	0 0 0.341225 0.433013 0.823934 1 1 1.15877 0.433013 0.823934 
0.045	0 0 0.341347 0.433013 0.824359 1 1 1.15865 0.433013 0.824359 
0.046	0 0 0.34147 0.433013 0.824739 1 1 1.15853 0.433013 0.824739 
0.047	0 0 0.341596 0.433013 0.825078 1 1 1.1584 0.433013 0.825078 
