0	0 0.375 0.433013 1.64644 1 1.125 0.433013 1.77853 
0.001	0 0.374342 0.433013 1.64744 1 1.12566 0.433013 1.77953 
0.002	0 0.373403 0.433013 1.64844 1 1.1266 0.433013 1.78053 
0.003	0 0.372287 0.433013 1.64944 1 1.12771 0.433013 1.78153 
0.004	0 0.371073 0.433013 1.65044 1 1.12893 0.433013 1.78253 
0.005	0 0.369825 0.433013 1.65144 1 1.13017 0.433013 1.78353 
0.006	0 0.36859 0.433013 1.65244 1 1.13141 0.433013 1.78453 
0.007	0 0.367402 0.433013 1.65344 1 1.1326 0.433013 1.78553 
0.008	0 0.366288 0.433013 1.65444 1 1.13371 0.433013 1.78653 
0.009	0 0.365266 0.433013 1.65544 1 1.13473 0.433013 1.78753 
0.01	0 0.364349 0.433013 1.65644 1 1.13565 0.433013 1.78853 
0.011	0 0.363543 0.433013 1.65744 1 1.13646 0.433013 1.78953 
0.012	0 0.362853 0.433013 1.65844 1 1.13715 0.433013 1.79053 
0.013	0 0.362278 0.433013 1.65944 1 1.13772 0.433013 1.79153 
0.014	0 0.361816 0.433013 1.66044 1 1.13818 0.433013 1.79253 
0.015	0 0.361463 0.433013 1.66144 1 1.13854 0.433013 1.79353 
0.016	0 0.361214 0.433013 1.66244 1 1.13879 0.433013 1.79453 
0.017	0 0.361062 0.433013 1.66344 1 1.13894 0.433013 1.79553 
0.018	0 0.361 0.433013 1.66444 1 1.139 0.433013 1.79653 
0.019	0 0.361023 0.433013 1.66544 1 1.13898 0.433013 1.79753 
0.02	0 0.361121 0.433013 1.66644 1 1.13888 0.433013 1.79853 
0.021	0 0.361289 0.433013 1.66744 1 1.13871 0.433013 1.79953 
0.022	0 0.361519 0.433013 1.66844 1 1.13848 0.433013 1.80053 
0.023	0 0.361804 0.433013 1.66944 1 1.1382 0.433013 1.80153 
0.024	0 0.362139 0.433013 1.67044 1 1.13786 0.433013 1.80253 
0.025	0 0.362516 0.433013 1.67144 1 1.13748 0.433013 1.80353 
0.026	0 0.362932 0.433013 1.67244 1 1.13707 0.433013 1.80453 
0.027	0 0.36338 0.433013 1.67344 1 1.13662 0.433013 1.80553 
0.028	0 0.363856 0.433013 1.67444 1 1.13614 0.433013 1.80653 
0.029	0 0.364356 0.433013 1.67544 1 1.13564 0.433013 1.80753 
0.03	0 0.364876 0.433013 1.67644 1 1.13512 0.433013 1.80853 
0.031	0 0.365411 0.433013 1.67744 1 1.13459 0.433013 1.80953 
0.032	0 0.36596 0.433013 1.67844 1 1.13404 0.433013 1.81053 
0.033	0 0.366518 0.433013 1.67944 1 1.13348 0.433013 1.81153 
0.034	0 0.367085 0.433013 1.68044 1 1.13292 0.433013 1.81253 
0.035	0 0.367656 0.433013 1.68144 1 1.13234 0.433013 1.81353 
0.036	0 0.368231 0.433013 1.68244 1 1.13177 0.433013 1.81453 
0.037	0 0.368807 0.433013 1.68344 1 1.13119 0.433013 1.81553 
0.038	0 0.369383 0.433013 1.68444 1 1.13062 0.433013 1.81653 
0.039	0 0.369957 0.433013 1.68544 1 1.13004 0.433013 1.81753 
0.04	0 0.370528 0.433013 1.68644 1 1.12947 0.433013 1.81853 
0.041	0 0.371095 0.433013 1.68744 1 1.1289 0.433013 1.81953 
