0	0 0 0.375 0.433013 0.487139 1 1 1.125 0.433013 0.487139 
0.001	0 0 0.374342 0.433013 0.513468 1 1 1.12566 0.433013 0.513468 
0.002	0 0 0.373403 0.433013 0.538646 1 1 1.1266 0.433013 0.538646 
0.003	0 0 0.372287 0.433013 0.562646 1 1 1.12771 0.433013 0.562646 
0.004	0 0 0.371073 0.433013 0.58544 1 1 1.12893 0.433013 0.58544 
0.005	0 0 0.369825 0.433013 0.607009 1 1 1.13017 0.433013 0.607009 
0.006	0 0 0.36859 0.433013 0.627342 1 1 1.13141 0.433013 0.627342 
0.007	0 0 0.367402 0.433013 0.646436 1 1 1.1326 0.433013 0.646436 
0.008	0 0 0.366288 0.433013 0.664301 1 1 1.13371 0.433013 0.664301 
0.009	0 0 0.365266 0.433013 0.680956 1 1 1.13473 0.433013 0.680956 
0.01	0 0 0.364349 0.433013 0.696427 1 1 1.13565 0.433013 0.696427 
0.011	0 0 0.363543 0.433013 0.710753 1 1 1.13646 0.433013 0.710753 
0.012	0 0 0.362853 0.433013 0.723976 1 1 1.13715 0.433013 0.723976 
0.013	0 0 0.362278 0.433013 0.736144 1 1 1.13772 0.433013 0.736144 
0.014	0 0 0.361816 0.433013 0.747312 1 1 1.13818 0.433013 0.747312 
0.015	0 0 0.361463 0.433013 0.757535 1 1 1.13854 0.433013 0.757535 
0.016	0 0 0.361214 0.433013 0.76687 1 1 1.13879 0.433013 0.76687 
0.017	0 0 0.361062 0.433013 0.775378 1 1 1.13894 0.433013 0.775378 
0.018	0 0 0.361 0.433013 0.783114 1 1 1.139 0.433013 0.783114 
0.019	0 0 0.361023 0.433013 0.790136 1 1 1.13898 0.433013 0.790136 
0.02	0 0 0.361121 0.433013 0.7965 1 1 1.13888 0.433013 0.7965 
0.021	0 0 0.361289 0.433013 0.802258 1 1 1.13871 0.433013 0.802258 
0.022	0 0 0.361519 0.433013 0.807461 1 1 1.13848 0.433013 0.807461 
0.023	0 0 0.361804 0.433013 0.812156 1 1 1.1382 0.433013 0.812156 
0.024	0 0 0.362139 0.433013 0.816388 1 1 1.13786 0.433013 0.816388 
0.025	0 0 0.362516 0.433013 0.820198 1 1 1.13748 0.433013 0.820198 
0.026	0 0 0.362932 0.433013 0.823626 1 1 1.13707 0.433013 0.823626 
0.027	0 0 0.36338 0.433013 0.826707 1 1 1.13662 0.433013 0.826707 
0.028	0 0 0.363856 0.433013 0.829474 1 1 1.13614 0.433013 0.829474 
0.029	0 0 0.364356 0.433013 0.831957 1 1 1.13564 0.433013 0.831957 
